BARDID,Year,USCGadded,NumberDeaths,NumberInjured,MeetsInjuryThreshold,MeetsDamageThreshold,NumberVesselsInvolved,NumberVesselsLost,TotalDamage,Date,Time,State,Location,NameOfBodyOfWater,NearestCityTown,County,Clear,Cloudy,Fog,Rain,Snow,Hazy,WaterConditions,StrongCurrent,HazardousWaters,CongestedWaters,Wind,AirTemperature,WaterTemperature,DayNight,Visibility,DayofWeek,AccidentCause1,AccidentCause2,AccidentCause3,OtherAccidentCause,MachineryFailure,EquipmentFailure,AccidentEvent1,AccidentEvent2,AccidentEvent3,OtherAccidentEvent,RedactedNarrative,StateCaseID,Latitude,Longitude,CoordinatesConfidence
FL-2017-0180,2017,NA,0,1,-1,-1,1,0,500015,4/18/2017 0:00:00,12/30/1899 10:50:00,FL,BRAMP GRANDVIEW PARK X2[SR-687],TAMPA BAY,ST. PETERSBURG,PINELLAS,-1,0,0,0,0,0,Calm,NA,NA,NA,Moderate,81,78,-1,Good,Tuesday,Ignition of fuel or vapor,NA,NA,NA,NA,NA,Fire/explosion (fuel),Flooding/swamping,Sinking,NA,"On April 18th, 2017, vessel one (V1), with two occupants on board, caught fire and sank in Tampa Bay in Pinellas County. V1 was at anchor while one of the occupants attempted to light a single burner stove that utilizes marine alcohol. The stove was not ventilated properly and the fumes ignited. The fire quickly spread throughout the cabin forcing both occupants to jump from the boat into the water. A good samaritan nearby saw the fire and assisted the two swimmers with getting to shore. V1 burned down to the water line, filled with water, and sank. One of the occupants was transported to Tampa General Hospital for 2nd degree burns to their face, chest, right arm, and right hand. The other occupant was uninjured.

Victim suffered 2nd degree burns to her right hand, right arm, chest, and the right side of her face. The burns covered 15% of her body. She was treated at Tampa General Hospital.",FWSW17OFF006029,NA,NA,NA
AL-2017-0022,2017,NA,0,2,-1,-1,2,0,20000,5/29/2017 0:00:00,12/30/1899 0:40:00,AL,up the Big Tallapoosa River Near the 10 mile marker,Wedowee / Harris Lake,Wedowee,Randolph,-1,0,0,0,0,0,Calm,NA,NA,NA,Light,78,60,0,Poor,Monday,Navigation rules violation,NA,NA,NA,NA,NA,Collision with recreational vessel,Fall in vessel,NA,NA,"Driver of Vessel 1 stated that he and his friends pulled out from their cove and turned the boat off.  He stated that they were sitting on the west side of the river channel with their docking lights on listening to music.  He stated that his passengers saw a boat heading towards them.  The boat then collided with their boat.

Driver of Vessel 2 stated that he and his father were out fishing for the night.  He stated that they were finished fishing and were heading back to his vehicle at the time of the accident.  He stated that as he was driving he saw a boat on the east side of the river maybe 200 ft off the east bank. He stated that he stayed on the west side of the river approximately 300 ft off the shoreline, to be a very safe distance from the other boat.  He then collided with a pontoon boat that he stated had no lights on approx. 800-1000 ft south of the cove that he had just exited. His father sustained injuries. The collision also caused damage to his boat and gear.

During the Trooper''s observation, which was about an hour after the accident, the lights on both vessels were working.


",MP011705J02,NA,NA,NA
TX-2017-0227,2017,NA,0,1,-1,0,1,0,0,6/16/2017 0:00:00,12/30/1899 19:20:00,TX,Lake Allen Henry,0006 ALAN HENRY,Post,085 GARZA,-1,0,0,0,0,0,Calm,N,N,N,Light,95,74,-1,Good,Friday,Other,NA,NA,passenger/skier behavior,NA,NA,Skier mishap,NA,NA,NA,"On Friday, June 16th at approximately 19:20 hours, operator was driving TX5786JC, a white in color Cobalt, and was pulling her husband on Skiis. During this time, they were travelling towards the Little Grape Cove  by the Damn area of Lake Allen Henry in Garza County. 

Operator said her husband was an experienced skiier and has been doing it all his life.  She said that were travelling straight, and her husband was skiing directly behind the boat at approximately 25-28 MPH.  She was watching him in the rearview mirror, when she noticed him fall.  She said he didn't seem to fall weird, it just appeared that he dropped the rope because he was tired.  Operator said when she pulled around to pick him up, he told her something was wrong, and his leg doesn't feel right. She helped him into the boat and noticed his left leg seemed to look weird, and that's when she noticed it was broken below the knee. She then called 911 and drove the boat back to the Public Boat ramp and waited on EMS. Alcohol was consumed but did not play a factor.  Type III PFD's were worn by both the Driver and the Skiier.
",NA,NA,NA,NA
WA-2017-0025,2017,NA,0,0,0,-1,2,0,10000,6/7/2017 0:00:00,12/30/1899 21:15:00,WA,Friday Harbor Marina,Friday Harbor,Friday Harbor,San Juan,0,0,0,-1,0,0,Calm,Y,N,Y,Light,55,50,0,Fair,Wednesday,Hazardous waters,Restricted vision,Congested waters,NA,NA,NA,Collision with commercial vessel,Fall in vessel,NA,NA,"Vessel #1 (V1) – 2007, 48' Seahorse Marine Diesel Duck Cabin Motorboat w/120 hp Iveco Diesel Inboard Engine
Vessel #2 (V2) – 1973, 57' Owner Built Auxiliary Sailboat w/Buda Inboard Diesel Engine 
 
On 06/07/2017, at about 9:15 p.m., V1 was moving to moor his vessel in Friday Harbor at the Friday Harbor Marina located near Friday Harbor, WA in San Juan county.  On this same date and time V2 was tied to dock/mooring in his Slip at this location.  
 
According to Operator1, he was entering the marina in his vessel (V1) for an overnight stay.  It was raining when he entered the Marina, near the fuel dock, under the direction of the Marina Representative.  An unexpected current caused his vessel to move to port and make contact with another vessel (V2).  The stabilizer boom on the port side of V1 came into contact with the rail at the top of the starboard side of V2 causing damage to the wood rail.  The anchor of V2 also came into contact with the port side of V1.  Operator1 reported that the current was very strong and there was no warning from the Marina Representative to that point. 
 
The Owner of V2 reported that his vessel, a “Boat Bed and Breakfast”, was moored in its Slip at about 6:45 p.m. when it was struck on the starboard side by V1.  Guests aboard V2 were knocked down as the vessel was pressed into the dock.  No guests were injured.  Significant damage was done to the dock.  V2 sustained significant damage to the rail, possible structural damage, and some cracking on and below deck.  
 
0 Injuries / 0 Fatalities
No apparent alcohol or drug involvement
V1 – No damage reported / V2 – $10,000
V1 – Operator was wearing a PFD / V2 – PFD Wear N/A (No one on board at time of incident) 
V1 – Boater Education Card N/A (No Operator on board at time of incident)
V2 - The Operator did not have a mandatory Boater Education Card",NA,NA,NA,NA
MD-2017-0156,2017,NA,0,0,0,-1,1,0,7500,10/16/2017 0:00:00,12/30/1899 13:45:00,MD,5901 MAIN STEM/MOUTH-QUEENSTOWN CREEK,CHESTER RIVER,GRASONVILLE,QA - Queen Anne,0,-1,0,0,0,0,Calm,Y,Y,N,Storm,66,68,-1,Fair,Monday,Hazardous waters,Weather,NA,NA,NA,NA,Collision with fixed object,NA,NA,NA,"On October 16, 2017 at approximately 1:55PM I, Officer, responded to a call for a vessel accident at the Kent Narrows drawbridge.   

     I arrived on the scene at 2:15PM and made contact with the bridge tender, who witnessed the accident. Witness1 stated that a sailing vessel named Wind Dancer (white, 1988 Pearson, Doc#936298) struck the bridge while passing through and had broken a navigational light attached to the bridge. After being struck, the navigational light broke free from the bridge and remained attached only by a single cable. Witness1 stated that after the collision he repeatedly attempted to make contact with the vessel via the VHF radio but all of his attempts went unanswered. The Wind Dancer failed to stop and continued on into the Chester River traveling in the direction of Rock Hall. Officer attempted to catch up with the vessel but was unable to do so due to inclement weather. Corporal, who also heard the call over the radio, was waiting at Rock Hall marina in case the vessel returned to Rock Hall. 

     With the information given by Witness1, I found that the Wind Dancer was a rental vessel and was rented out by Haven Charters of 20846 Rock Hall Avenue in the town of Rock Hall in Kent County, Maryland. I made contact with a representative for Haven Charters who stated that they were unaware of the accident and the vessel was rented out and due to return within the hour. I relayed this information to Corporal who traveled to Haven Charters to wait for the vessel to return. 

     The vessel arrived at Haven Charters at approximately 4:30PM at which point Corporal made contact with the occupants in order to gather a statement from the individuals on board. The operator of the vessel advised that they had rented the vessel for the weekend to sail to Saint Michaels and on their way back to Haven Harbor they came to the Kent Narrows Bridge. When they arrived at the Kent Narrows bridge they were traveling at approximately two knots, the tide was running northbound and the winds were north to south at approximately 25 knots. 

Operator advised that as they passed under the bridge the stern of the vessel moved to the left toward the bridge wall while the bow moved slightly to the right. Operator then maneuvered the vessel back to operating straight through the channel but the mast brushed against the opened portion of the bridge. Operator advised that he heard some brief metal on metal scraping but it ended quickly and he saw no visible damage to his vessel or the bridge and for this reason he did not stop. Operator stated that he assumed that if there were any damage done to the bridge, the bridge tender would have called him on the phone because that is how they contacted him initially to verify the bridge would be open. Operator’s statement was corroborated by the other three passengers who were adamant that they were unaware that their contact with the bridge had done any damage.  Corporal cleared the scene after getting the written statement from Operator. 

     I contacted Haven Charters again on October 17, 2017 in order to gather the insurance information for the vessel for any repairs to the bridge. This information was passed on to the bridge tender, Witness1, and the Maryland State Highway Administration who had contacted me that morning. The damage was estimated by the State Highway Administration to be $7,500.  
     
     The winds at the time of the accident were 25+ knots out of the north with occasional gusts exceeding 35 knots, the tide was coming in from the Kent Narrows to the Chester River and there was no other boat traffic in the area. No other structures, vessels or property were damaged as a result of the accident. 

     All events occurred in Queen Anne and Kent Counties.",NRP-17-01464,NA,NA,NA
MO-2017-0059,2017,NA,0,2,-1,0,1,1,300,5/29/2017 0:00:00,12/30/1899 15:00:00,MO,NA,BIG PINEY RIVER,ST. ROBERTS,PULASKI,-1,0,0,0,0,0,Unknown,Y,Y,N,Light,83,68,-1,Good,Monday,Improper lookout,Navigation rules violation,NA,NA,NA,NA,Collision with fixed object,Capsizing,Person ejected from vessel,NA,OPERATOR 1 WAS OPERATING VESSEL 1 WHILE DRIFTING DOWNSTREAM. OPERATOR 1 WHILE OPERATING VESSEL 1 FAILED TO MANEUVER AROUND A FIXED OBJECT IN THE WATERWAY (TREE) CAUSING VESSEL 1 TO MAKE IMPACT WITH THE OBJECT. THE IMPACT WITH THE FIXED OBJECT (TREE) CAUSED VESSEL 1 TO CAPSIZE AND TO EJECT ALL OF THE OCCUPANTS INTO THE WATER. PASSENGERS 2 AND 3 BOTH SUSTAINED INJURIES (one had broken ribs and the other water inhalation). THE OPERATOR DID NOT SUSTAIN ANY INJURIES. VESSEL 1 WAS A TOTAL LOSS DUE TO SINKING INTO THE WATER.,170332651,NA,NA,NA
CT-2017-0011,2017,NA,0,1,-1,-1,2,0,8000,6/25/2017 0:00:00,12/30/1899 10:30:00,CT,Greens Ledge Lighthouse,Long Island Sound,Darien,Fairfield,-1,0,0,0,0,0,Choppy,NA,N,N,Light,80,67,-1,Good,Sunday,Operator inattention,Improper lookout,NA,NA,NA,NA,Collision with recreational vessel,Person struck by vessel,Flooding/swamping,NA,The operator of a sailing vessel (vessel 1) had engaged autopilot and went below decks when he struck anchored open motorboat (vessel 2). Vessel 1 struck the right leg of one of the passengers.  Vessel 1 pulled up the anchor and proceeded to the dock to get medical attention.,17-011,NA,NA,NA
AL-2017-0075,2017,NA,0,3,-1,-1,1,0,5000,6/10/2017 0:00:00,12/30/1899 22:45:00,AL,1/3 MILE W OF HWY 31 BRIDGE,Alabama River,PRATTVILLE,Autauga,-1,0,0,0,0,0,Calm,N,N,N,None,72,74,0,Good,Saturday,Alcohol use,Excessive speed,Improper lookout,NA,NA,NA,Collision with floating object,Grounding,Fall in vessel,NA,"Upon trooper arrival at boat ramp the prattville fire dept was leaving and taking all 3 victims to the prattville baptist er so trooper was inable to make contact with victims before they left the scene. So trooper turned his attention to the accident location site. 

The vessel was grounded almost completely onto a high bank and resting at a steep angle. The vessel was checked for all required equipment. Blood, water, shattered glass, and the angle of the vessel made the search extremely slippery so the trooper search was limited. Trooper was unable to locate a fire extinguisher, or type iv pfd in the boat. There was no emergency shut off switch lanyard attached to the switch. This was all photographed. Trooper returned to truck and traveled to prattvile baptist er. 

While talking with the operator trooper detected an odor of alcohol from his breath. Operator admitted to drinking that ay but stated he had his last beer around 8:00pm. He stated that he, his daughter and a friend of the daughter were returning from a residence and heading to swift creek boat landing. He struck a floating log which caused the boat to turn sharply to the right and they ran aground.",MP1689061017A,NA,NA,NA
GA-2017-0108,2017,NA,0,1,-1,0,1,0,0,8/13/2017 0:00:00,12/30/1899 10:30:00,GA,N 34 8 30.15  W 84 38 32.87,ALLATOONA LAKE,WOODSTOCK,CHEROKEE,-1,0,0,0,0,0,Calm,N,N,N,None,83,83,-1,Good,Sunday,Sharp turn,Navigation rules violation,NA,NA,NA,NA,Falls overboard,Person struck by vessel,NA,NA,"Operator was operating his pwc in the area of Galt's Ferry day use area.  Operator was testing the operational maneuverability of his PWC by conducting sharp turns.  Operator fell of the front right while conducting a sharp turn to the right.  The PWC hit him right shoulder.  Operator got back on his PWC and drove himself back to the boat ramp.  A CORP Ranger called 911.  Operator was transported to Northside Cherokee for treatment.  He suffered a broken collar bone.  

There is nothing further to report.
",A004488,NA,NA,NA
GA-2017-0094,2017,NA,0,1,-1,0,1,0,0,6/30/2017 0:00:00,12/30/1899 20:33:00,GA,LAKE OCONEE NEAR LICK CREEK,LAKE OCONEE,EATONTON,PUTNAM,0,-1,0,0,0,0,Calm,N,N,N,None,88,72,0,Fair,Friday,Excessive speed,Force of wake/wave,NA,NA,NA,NA,Skier mishap,NA,NA,NA,"On June 30, 2017, I Cpl., was patrolling Lake Oconee by vessel in front of Old Salem Park.  I received a call from GSP dispatch in reference to person injured from falling off a tube.  The dispatcher advised me the vessel involved was pulling to the dock at the boat ramp at Old Salem Park.  I immediately went to the boat ramp to assist the victim.  

	Upon arrival, I noted there were three female juveniles on the dock. Two of the female juveniles were assisting the victim, which was also a female juvenile.  I noted the victim was shuffling her feet trying to walk.  I advised the two female juveniles assisting the victim to immediately lower the victim to the dock.  I tied my vessel and attended to the victim.  The victim was incoherent and had slurry speech.  Victim appeared to be going in and out of consciousness.  I started to treat the victim for shock while waiting for EMS personnel.  I asked one of the girls what happened.  The female juvenile stated she fell off the tube and she was acting funny when they got her into the vessel.  She stated they immediately started back for the boat ramp and called 911 for an ambulance.  Once EMS personnel arrived on scene, I turned my attention to the vessel and the operator.  The first thing I looked for any evidence of alcoholic beverages in the vessel, which I did not see.  I then talked to the operator who stated she was at the lake with her boyfriend and his two children.  She also had her two children there as well.  The vessel registration was GA 6279 YV, which was a 1998 Blue Bayliner Inboard/outboard.

	I spoke with Operator1.  Operator1 identified the tubers as all female juveniles.  I did not detect an odor of an alcoholic beverage coming from Operator1.  EMS personnel stated the victim needed to be transported to Athens Regional Medical Center immediately.  I advised Operator1 to contact the victim’s mother and advise her what was happening.  At the time there was no number for the victim’s mother and Operator1 did not have her cell phone. I advised Operator1 I would interview everyone at a later time.  Victim was transported to Athens by the medical unit.  It should be noted Operator1 accompanied the victim in the ambulance. 

When I arrived at Athens Regional hospital, I met with Dr.  Dr. stated that Victim sustained a concussion and had fluid in her left lung.  Dr. stated she was in stable condition but wanted to keep Victim overnight for observation.

I interviewed Operator1.  Operator1 stated she was pulling the tube and was causing the tube to go over the wake of the vessel.  Operator1 stated one of the girls fell off the tube which caused it to be uneven weight wise.  Operator1 stated the tube went airborne and flipped landing on top of the other two tubers.  Operator1 stated she turned around and picked up the tubers in the water.  Once she got the girls in the boat, she noted Victim was crying stating her head hurt and decided she needed to be seen by medical personnel.  

I obtained witness statements from everyone in the vessel and on the tube.  The witness statements corroborate the operator’s account of what happened.  No charges were filed in the incident and a boating incident report was completed.

	On July 2, 2017, I spoke with the victim’s mother and she stated her daughter was released from the hospital and was at home resting.
",A007391,NA,NA,NA
FL-2017-0718,2017,NA,1,0,0,0,1,0,0,8/20/2017 0:00:00,12/30/1899 18:15:00,FL,BRAMP COURTNEY CAMPBELL,GULF OF MEXICO,TAMPA,HILLSBOROUGH,-1,-1,0,0,0,0,Choppy,NA,NA,NA,Moderate,86,89,-1,Good,Sunday,Alcohol use,NA,NA,NA,NA,NA,Falls overboard,NA,NA,NA,"On Sunday, August 20, 2017, sometime between 12:00 pm - 1:00 pm, it is believed that operator launched his vessel at the Courtney Campbell Causeway Boat Ramp, located at 12030 Courtney Campbell West in Tampa, Florida 33607 in Hillsborough County. 

Operator’s vessel is a 2016 10-foot silver Yamaha (V1) personal watercraft (PWC), bearing Florida registration (FL 5662 RD). At approximately 9:27 pm on said date, a Tow Boat U.S. captain reported an unmanned PWC adrift in Tampa Bay, at N27 57.99 / W082 36.382 on the south side of the Courtney Campbell Causeway, in Hillsborough County. The operator of the PWC (Operator), was located deceased on Monday, August 21, 2017, at approximately 8:00 am. 

Operator was in approximately 2’of water, approximately 50 yards from the Courtney Campbell Causeway shore at N27 58 16.61 / W082 36 23.93, and approximately .33 miles northeast of where the PWC was originally located. Operator was face-up in the water with his head completely submerged. Operator was wearing a black shirt, black swim shorts, and black water shoes. Operator was not wearing a personal floatation device (PFD). 

It is unclear at this time as to how Operator became separated from the PWC as well as what caused his death.   ; OPERATOR:The Hillsborough County Medical Examiner’s Office has classified this as an accidental drowning with contributory cause; Ethanol Intoxication (0.20 g/dL Oscular Fluid - 0.21 g/dL Peripheral Blood), Pulmonary Emphysematous Change, and hypertensive heart disease.
",FWSW17OFF014589,27.96,-82.6,C
VA-2017-0057,2017,NA,0,0,0,-1,1,0,5000,6/9/2017 0:00:00,12/30/1899 22:30:00,VA,Baker's Point,Lake Anna,"Louisa, VA / Lake Anna State P",Spotsylvania,0,-1,0,0,0,0,Calm,NA,NA,NA,Moderate,NA,NA,0,Poor,Friday,Excessive speed,Operator inattention,NA,NA,NA,NA,Collision with fixed object,NA,NA,NA,"The vessel, being operated by the owner, was travelling at a high rate of speed, during night time hours.  The vessel struck a wood retaining wall, causing significant damage to the wall, and the fiberglass hull of the vessel.",NA,NA,NA,NA
FL-2017-0231,2017,NA,0,0,0,-1,1,0,20000,5/29/2017 0:00:00,12/30/1899 14:50:00,FL,BRIDGE JOHN RINGLING CSWY,SARASOTA BAY,SARASOTA INC,SARASOTA,-1,0,0,0,0,0,Choppy,NA,NA,NA,Strong,88,87,-1,Good,Monday,Hazardous waters,Weather,NA,NA,NA,NA,Flooding/swamping,Capsizing,Person ejected from vessel,NA,"V1 was cruising in Sarasota Bay near Ringling Museum. V1 took on water and capsized. The operator on board jumped into the water without sustaining any injuries.

The operator of the vessel stated he turned his trim tabs down and put the vessel in gear and proceeded to go forward. With the rough water conditions, water went over the transom and continued to fill up the vessel. The operator jumped out of the vessel without injury while the boat turned on it's port side and capsized. The two other juveniles were already in the water fishing.",FWSW17OFF009079,NA,NA,NA
MO-2017-0149,2017,NA,0,1,-1,0,1,0,0,8/27/2017 0:00:00,12/30/1899 16:30:00,MO,NA,OTHER STREAM,HILLSBORO,JEFFERSON,-1,0,0,0,0,0,Choppy,N,N,N,None,92,88,-1,Good,Sunday,Excessive speed,Force of wake/wave,NA,NA,NA,NA,Skier mishap,NA,NA,NA,OPERATOR 1 WAS OPERATING VESSEL 1 WHILE CRUISING ON PLANE AND TOWING A WATER SKIER. AS OPERATOR 1 WAS TURNING THE VESSEL LEFT THEN RIGHT AS THE TUBE WAS CROSSING THE WAKE OF THE VESSEL. THE WATER SKIER TRAVELED OUTSIDE THE WAKE AND THE TUBE OVERTURNED EJECTING THE TUBER. THE WATER SKIER SUSTAINED INJURIES FROM THE VIOLENT MANNER IN WHICH THEY STRUCK THE WATER. NONE OF THE OCCUPANTS ON VESSEL 1 SUSTAINED ANY INJURIES. THERE WAS NO DAMAGE TO VESSEL 1.,170555330,NA,NA,NA
FL-2017-0186,2017,NA,0,0,0,-1,1,0,2000,3/29/2017 0:00:00,12/30/1899 8:30:00,FL,MOORING BALLS SOUTH OF FORT LAUDERDALE INLET,OCEAN,DANIA BEACH,BROWARD,-1,0,0,0,0,0,Choppy,NA,NA,NA,Strong,78,76,-1,Good,Wednesday,Equipment failure,NA,NA,NA,NA,Auxiliary,Flooding/swamping,Capsizing,Person ejected from vessel,NA,"Vessel 1 was moored at the Dania Beach mooring balls South of the Fort Lauderdale Inlet. The owner and three occupants were fishing from the vessel. Water entered the vessel from the low transom while the occupants were fishing. The occupants did not realize that water was filling the vessel due to an inoperative bilge pump. The vessel filled with water then capsized. The owner and occupants were recovered by Coast Guard personnel without incident. There were no injuries. The vessel was salvaged by Tow Boat US personnel. The vessel was towed to Cox's Landing boat ramps located at 1784 SE 15"" Street in Fort Lauderdale.",90-1703-004421,NA,NA,NA
GU-2017-0001,2017,NA,0,1,-1,0,2,0,200,10/7/2017 0:00:00,12/30/1899 12:20:00,GU,by Outrigger Hotel,Philippine Sea,Tumon,NA,-1,0,0,0,0,0,Calm,NA,NA,NA,Light,NA,NA,-1,Good,Saturday,Machinery failure,Operator inexperience,NA,NA,Engine,NA,Collision with recreational vessel,Fall in vessel,NA,NA,Jet-Ski no. 1 (GU-5574-LR) engine failure had suddenly stopped propelling causing Jet-Ski no. 2 (GU-5821-LR) to collide with it.  Jet-Ski no. 2 was unable to avoid collision as he was trailing Jet-Ski no. 2.,17-28008,NA,NA,NA
FL-2017-0557,2017,NA,0,0,0,-1,1,0,3000,3/6/2017 0:00:00,12/30/1899 15:27:00,FL,INDIAN KEY FILL OCEAN SIDE,ATLANTIC,ISLAMORADA,MONROE,0,-1,0,0,0,0,Choppy,NA,NA,NA,Strong,75,71,-1,Good,Monday,Weather,Hazardous waters,Equipment failure,NA,NA,Auxiliary,Flooding/swamping,Capsizing,Person ejected from vessel,NA,"Capsized Vessel located just south of Tea Table Channel. Four persons onboard. Single boat accident.  I asked how the boat capsized? He stated while the vessel was moving, he saw a significant amount of water coming in through the gunnels. He then came down on speed and noticed the bilge was not working correctly. At that point he lost propulsion and the vessel started capsizing.",FWSB17OFF002836,NA,NA,NA
NH-2017-0050,2017,NA,0,0,0,-1,1,0,8165.8,5/21/2017 0:00:00,12/30/1899 2:00:00,NH,Meredith Bay,Lake Winnipesaukee,Meredith,Belknap,0,-1,0,0,0,0,Calm,N,N,N,Light,NA,NA,0,Unknown,Sunday,Alcohol use,NA,NA,NA,NA,NA,Collision with fixed object,NA,NA,NA,"Operator of vessel drove into and on top of a dock located at the Meredith Moorings Condominium Assoc. After beaching the vessel and leaving the area, the operator got into his vehicle and attempted to drive. A local police unit stopped him and arrested him for DWI. A call came in from someone who saw the accident and gave the location of the vessel. NH State Police went to the boating accident scene and worked with Marine Patrol to investigate and seize the vessel. Marine Patrol arrested the operator for Careless and Negligent and Conduct after an accident. The operator has refused to file an accident report at this time.",2017-31078-AC,NA,NA,NA
NC-2017-0041,2017,NA,0,0,0,-1,2,0,4000,4/29/2017 0:00:00,12/30/1899 12:30:00,NC,Beaufort Town Docks,Beaufort Waterfront,Beaufort,Carteret,-1,0,0,0,0,0,Calm,NA,NA,NA,Strong,76,72,-1,Good,Saturday,Weather,Operator inexperience,NA,NA,NA,NA,Collision with recreational vessel,NA,NA,NA,"On April 29, 2017, Vessel 1 named the Viking was tied up to the Beaufort Docks in Beaufort, NC.   At the time of the incident no one was on board vessel number 1.  Vessel number 2 named the Tropic Bird was making its way into the Beaufort Docks when the wind caused vessel 2 to strike vessel number 1 along its side causing damage.  The Coast Guard responded to the scene and got information and made sure there was not impairment from the operator of vessel 2.  I contacted vessel 2 operator and had him send in the report to NC Wildlife.  Winds were strong.

**********************END OF REPORT*********************************",423-001-042917,NA,NA,NA
MN-2017-0045,2017,NA,0,2,-1,0,1,0,0,7/8/2017 0:00:00,12/30/1899 16:31:00,MN,St Croix River at Highway 36 Bridge,St Croix,Oak Park Heights,Washinton,-1,0,0,0,0,0,Rough,N,N,Y,Light,81,79,-1,Good,Saturday,Force of wake/wave,Congested waters,NA,NA,NA,NA,Fall in vessel,NA,NA,NA,"The watercraft was southbound on the river south of the Highway 36 Bridge when it hit a series of large waves, causing the people in the boat to be tossed around. One victim suffered a laceration above her eye when her head hit a bow cover support anchor. She was transported to the hospital by ambulance. The second victim received an injury to his elbow but refused treatment beyond the first aid given at the scene. There was heavy boat traffic on the river that day. Life jackets were not being worn at the time of the incident.",117023748,NA,NA,NA
GA-2017-0078,2017,NA,0,0,0,-1,1,0,3000,7/11/2017 0:00:00,12/30/1899 14:00:00,GA,APPROXIMATELY 300 YARDS FROM WINGATE'S LANDING ON LAKE SEMINOLE,LAKE SEMINOLE,BAINBRIDGE,DECATUR,-1,0,0,0,0,0,Calm,N,N,N,None,75,85,-1,Good,Tuesday,Operator inattention,NA,NA,NA,NA,NA,Flooding/swamping,Capsizing,Person ejected from vessel,NA,"On Tuesday July 11, 2017 at approximately 1400 hours, Game Warden and I responded to Wingate's Landing in regards to a capsized  vessel. Investigation into the incident revealed that the operator of the vessel forgot to put the drain plug in before leaving Wingate's landing. Operator drove the vessel approximately 300 yards towards the main lake before realizing the drain plug was not in. Once he realized the plug was not in, he was able to stop and put the plug in from the inside of the vessel. While he was putting the plug in the vessel, the water inside the vessel shifted causing it to capsize. Operator and his passenger walked through the water back to Wingate's landing. The vessel was recovered and towed to WIngate's Landing by the Decatur County Fire Department prior to my arrival.",A000058,NA,NA,NA
FL-2017-0123,2017,NA,0,1,-1,0,1,0,0,1/31/2017 0:00:00,12/30/1899 15:50:00,FL,"100 YARDS OFFSHORE, 1/2 MILE NORTH OF HILLSBORO INLET",ATLANTIC OCEAN,HILLSBORO BEACH,BROWARD,-1,0,0,0,0,0,Choppy,NA,NA,NA,Moderate,71,72,-1,Good,Tuesday,Excessive speed,Force of wake/wave,NA,NA,NA,NA,Fall in vessel,Person ejected from vessel,NA,NA,"V-1 was cruising Northbound along the beach at approximately sixty miles per hour. V-1 hit a wave coming from the Northeast and went airborne. The operator of V-1  stayed onboard the vessel while it was airborne. When V-1 landed in the water, the operators face contacted the handle bar. The concussion knocked him off V-1 into the water. Nearby onlookers pulled him from the water onto their vessel. Another subject hopped onboard V-1 and took control. There was no visible damage to V-1. The operator of V-1 suffered a laceration to his face, a sprained ankle, and a fractured vertebrae in his lower back.",FWSA17OFF000954,NA,NA,NA
KY-2017-0026,2017,NA,0,0,0,-1,1,1,2500,8/3/2017 0:00:00,12/30/1899 14:25:00,KY,DALE HOLLOW STATE PARK MARINA,DALE HOLLOW LAKE,ALBANY,CLINTON,-1,0,0,0,0,0,Calm,N,N,N,Light,88,88,-1,Good,Thursday,Machinery failure,Operator inexperience,NA,NA,Electrical,NA,Fire/explosion (fuel),Person ejected from vessel,NA,NA,"On August 3, 2017 at approximately 1425 hours CST, I responded to the Dale Hollow State Park Marina on Dale Hollow Lake in reference to an incident involving a PWC fire. Once on scene I interviewed the operator and passenger of the vessel. 
According to operator of Vessel #1 (OH 0110 CT)(HIN # ZZN01001K900) he had just put fuel in his vessel at the Dale Hollow State Park Marina and had left the fuel pier. While in the idle speed zone his PWC quit running. After several attempts to restart the vessel he had no success. On the last attempt to start the engine the vessel exploded propelling him and his passenger approximately 10 feet in the air and then into the water. Both were able to swim to the dock, uninjuried.
Marina workers were able to quickly get the fire under control and tied the sinking vessel to the dock. The vessel was submerged under the dock throughout the evening. The Corps of Engineers were notified and worked with the owner to get the vessel removed from the water the following day
No one was injured as a result of this incident. However, Vessel #1 was a total loss and the damage was estimated at $2500.00.",2017-15-10559,NA,NA,NA
